word
accent
across
address
afraid
after
afternoon
agree
air
airport
aisle
almost
alone
always
angry
animal
answer
anything
anytime
apple
arm
armchair
arrival
art
artist
ask
attach
author
baby
bad
bag
balloon
banana
bank
barcode
bargain
bathroom
beach
beautiful
bed
bedroom
before
behind
bell
best
better
bill
biography
bird
birthday
biscuit
black
blanket
block
blow
blue
board
boarding
body
book
boot
boring
borrow
boss
bottle
boy
brave
bread
break
breakfast
breathe
broom
brother
brown
bucket
build
building
bus stop
busy
butter
buy
bye
cafe
cake
call
caller
calm
camera
candle
card
care
career
carrot
carry
cart
cashier
cat
catalog
celebrate
century
change
chapter
cheap
checkout
cheer
cheese
chef
chicken
child
chips
chocolate
cinema
city
clap
class
classmate
classroom
clever
client
climb
clinic
close
closed
clothe
clown
coat
coffee
cola
cold
colleague
colour
combo
come
comfort
comfortable
computer
cook
cookie
cooking
cool
corner
correct
couch
count
coupon
cover
coworker
cozy
cross
crust
cry
culture
curtain
cushion
customs
cute
dance
day
deadline
December
decorate
delay
delete
delicious
deliver
departure
desk
dial
dinner
dirty
discount
dish
dishes
distance
doctor
document
dog
dollar
door
doorbell
download
downstairs
dozen
dress
drink
drop
dry
dust
each other
ear
earn
easy
eat
egg
eggs
elevator
engineer
enjoy
euro
evening
event
exam
example
excuse
exercise
expensive
extra
eye
eyes
face
fall
family
famous
far
farewell
farm
farmer
father
favourite
fee
feel
feeling
fever
fiction
file
fill
find
finish
first
flat
flight
floor
flower
fly
folder
follow
food
football
foreign
forest
form
free
fresh
Friday
friend
friendship
from
frozen
fruit
full
funny
future
game
garbage
garden
garlic
gate
gentleman
gift
girl
girlfriend
glad
glasses
good
goodbye
goodnight
grandmother
great
green
greet
ground
group
guest
gym
half
hallway
hand
handshake
handsome
hang
happen
happy
head
health
healthy
hear
heart
hello
help
hill
history
hobby
hold
holiday
home
homework
hope
horse
hospital
hot
hotel
house
housewarming
hug
hungry
hurt
idea
important
in
interesting
introduce
island
item
jacket
January
jar
jeans
joke
juice
July
jump
keep
kettle
key
kick
kids
kind
kiss
kitchen
knee
knock
lab
lady
lamp
land
laptop
large
late
laugh
leaf
learn
left
leg
lesson
librarian
library
life
lift
like
list
live
lobby
login
lonely
long
lost
lovely
luck
luggage
lunch
machine
man
manner
market
meal
meat
medicine
meet
meeting
member
memory
menu
mess
milk
minute
minutes
miss
missed
Monday
money
month
mood
moon
mop
morning
mother
mountain
mouse
movie
mug
muscle
museum
mushroom
mute
name
nap
nature
near
neck
need
neighbor
nervous
new
news
nice
nickname
night
noise
nose
note
novel
number
nurse
office
old
onion
open
orange
order
outside
oven
overtime
page
painting
pan
park
party
passport
password
path
patients
pay
pepper
person
pet
photo
picture
pillow
pilot
pink
pizza
plane
plant
plastic
plate
play
player
please
pleasure
poem
points
polite
pond
popcorn
pot
potato
present
presentation
pretty
price
print
printer
prize
problem
project
promise
proud
pull
purple
push
question
queue
quiet
rabbit
race
rain
reach
read
reading
ready
really
reception
recipe
red
relax
remember
renew
repeat
reply
report
reservation
rest
restaurant
ribbon
rice
rich
right
ring
ringtone
ripe
river
road
room
routine
rug
run
sad
salad
sale
salt
Saturday
sauce
scan
scared
school
science
scientist
seat
seats
section
security
serve
shake
share
shelf
shift
shoe
shoes
shop
shopping
shoulder
show
shower
sick
sign
silence
sink
sir
sister
sleep
sleepy
slice
slide
slippers
slow
small
smart
smell
smile
snack
snow
soap
soda
software
song
soon
sorry
sound
sounds
spare
speak
speaker
spell
spice
spicy
sponge
sport
stand
star
stay
step
stomach
stove
straight
stranger
street
stretch
strong
student
study
subject
sugar
suitcase
summer
sun
Sunday
supermarket
surprise
sweat
sweep
sweets
swim
swimming
swing
table
tablecloth
tall
tasty
tea
teach
teacher
team
teammate
tears
temperature
tennis
terminal
test
text
textbook
thank
thanks
thin
think
thirty
throat
throw
Thursday
ticket
tidy
till
time
tired
today
toilet
tomato
tomorrow
topping
total
touch
towel
town
travel
tree
trip
true
turn
type
umbrella
under
understand
upset
upstairs
useful
usually
vegetable
view
visit
visitor
voicemail
wait
waiter
waitress
wake
walk
wall
warm
watch
water
wave
weak
wear
weather
week
weekend
weight
welcome
well
wet
whisper
white
wifi
win
window
winner
winter
wipe
wish
woman
word
work
worker
worried
yard
yellow
yesterday
yogurt
young
