lemma
afraid
alarm
ask
aunt
back
bag
balcony
bank
basket
bathroom
bird
birthday
black
book
bookshop
borrow
boss
box
bread
bright
brother
brown
bus
cable
cake
call
care
chair
charge
chocolate
class
clean
close
clothes
coffee
come
connect
cost
course
cousin
deal
desk
dollar
door
downstairs
drawer
drink
drop
dry
due
eat
everything
expensive
extra
fault
feel
find
fit
fix
flu
fly
forget
fruit
get
gift
give
go
goodness
green
happen
happy
help
home
hope
hour
hungry
hurry
hurt
idea
important
job
juice
key
kill
kind
kitchen
know
leave
library
light
like
long
look
lot
make
market
meet
message
minute
miss
mistake
mom
moment
month
morning
movie
need
nervous
next
open
oven
package
paper
party
pen
percent
perfect
person
phone
pinch
pizza
plant
popcorn
power
put
quickly
rain
ready
return
sandwich
save
say
screen
send
set
share
shirt
shop
shot
sister
sit
small
soon
spare
spider
spill
stand
star
start
still
student
table
take
taxi
tea
teacher
tell
think
time
today
tomorrow
touch
towel
turn
uncle
upset
upstairs
usually
wait
wake
want
warm
water
wedding
week
white
window
work
worry
wrap
write
wrong
yellow
