level,lesson_order,grammar_level,grammar_order
1,1,1,1
1,9,1,2
1,17,1,3
1,4,1,4
1,6,1,5
1,22,1,6
1,12,1,7
1,10,1,8
1,23,1,9
1,3,1,10
1,30,1,11
1,18,1,12
1,35,1,13
1,5,1,14
1,29,1,15
1,8,1,16
